3 Biotech,3 Biotech,,2190-5738,Jul 2011,
Briefings in Functional Genomics,Brief Funct Genomics,2041-2649,2041-2657,Dec 2010,
Bulletin of the World Health Organization,Bull World Health Organ,0042-9686,1564-0604,1948,
CADTH Technology Overviews,CADTH Technol Overv,,1481-4501,2010,Dec 2013
Canadian Family Physician,Can Fam Physician,0008-350X,1715-5258,Jul 1967,
Canadian Geriatrics Journal,Can Geriatr J,,1925-8348,Mar 2011,
The Canadian Journal of Cardiology,Can J Cardiol,0828-282X,1916-7075,Jan 2006,Dec 2010
Canadian Journal of Gastroenterology & Hepatology,Can J Gastroenterol Hepatol,2291-2789,2291-2797,Jan 2014,
The Canadian Journal of Hospital Pharmacy,Can J Hosp Pharm,0008-4123,,Jan 2009,
The Canadian Journal of Infectious Diseases & Medical Microbiology,Can J Infect Dis Med Microbiol,1712-9532,1918-1493,May 2004,
The Canadian Journal of Plastic Surgery,Can J Plast Surg,1195-2199,1918-1507,Mar 2003,
Canadian Journal of Surgery,Can J Surg,0008-428X,1488-2310,Feb 1996,
Canadian Journal of Veterinary Research,Can J Vet Res,0830-9000,,Jan 1986,
Canadian Pharmacists Journal : CPJ,Can Pharm J (Ott),1715-1635,1913-701X,Jan 2012,
Canadian Respiratory Journal : Journal of the Canadian Thoracic Society,Can Respir J,1198-2241,1916-7245,Jan 2006,
Canadian Urological Association Journal,Can Urol Assoc J,1911-6470,,Mar 2007,
The Canadian Veterinary Journal,Can Vet J,0008-5286,,Jan 1960,
Cancer Biology & Medicine,Cancer Biol Med,2095-3941,,Mar 2012,
Cancer Biology & Therapy,Cancer Biol Ther,1538-4047,1555-8576,Jul 2010,
Cancer Biotherapy & Radiopharmaceuticals,Cancer Biother Radiopharm,1084-9785,1557-8852,Jun 2008,
Cancer Cell International,Cancer Cell Int,,1475-2867,2001,
Cancer Growth and Metastasis,Cancer Growth Metastasis,,1179-0644,2013,
Cancer Imaging,Cancer Imaging,1740-5025,1470-7330,2004,
Cancer Immunity,Cancer Immun,,1424-9634,2007,
Cancer Informatics,Cancer Inform,,1176-9351,2005,
Cancer Management and Research,Cancer Manag Res,,1179-1322,2009,
Cancer Medicine,Cancer Med,,2045-7634,Aug 2012,
Cancer & Metabolism,Cancer Metab,,2049-3002,2013,
Cancer Microenvironment,Cancer Microenviron,1875-2292,1875-2284,Dec 2008,
Cancer Research and Treatment : Official Journal of Korean Cancer Association,Cancer Res Treat,1598-2998,2005-9256,Feb 2004,
Cancers,Cancers (Basel),,2072-6694,Jan 2008,
Carbon Balance and Management,Carbon Balance Manag,,1750-0680,2006,
Carcinogenesis,Carcinogenesis,0143-3334,1460-2180,Aug 2008,
Cardiology Research and Practice,Cardiol Res Pract,2090-8016,2090-0597,2009,
Cardiology and Therapy,Cardiol Ther,2193-8261,2193-6544,Dec 2012,
Cardiology,Cardiology,0008-6312,1421-9751,Oct 2008,May 2012
Cardiopulmonary Physical Therapy Journal,Cardiopulm Phys Ther J,1541-7891,,Mar 2008,Jun 2014
Cardiorenal Medicine,Cardiorenal Med,1664-3828,1664-5502,Jan 2011,
Cardiovascular Diabetology,Cardiovasc Diabetol,,1475-2840,2002,
Cardiovascular Diagnosis and Therapy,Cardiovasc Diagn Ther,2223-3652,2223-3660,Dec 2011,
Cardiovascular Journal of Africa,Cardiovasc J Afr,1995-1892,1680-0745,Jul 2007,
Cardiovascular Psychiatry and Neurology,Cardiovasc Psychiatry Neurol,2090-0163,2090-0171,2009,
Cardiovascular Research,Cardiovasc Res,0008-6363,1755-3245,Aug 2008,
Cardiovascular Ultrasound,Cardiovasc Ultrasound,,1476-7120,2003,
Caries Research,Caries Res,0008-6568,1421-976X,Aug 2007,May 2012
Case Reports in Anesthesiology,Case Rep Anesthesiol,2090-6382,2090-6390,2011,
Case Reports in Cardiology,Case Rep Cardiol,2090-6404,2090-6412,2011,
Case Reports in Critical Care,Case Rep Crit Care,2090-6420,2090-6439,2011,
Case Reports in Dentistry,Case Rep Dent,2090-6447,2090-6455,2011,
Case Reports in Dermatology,Case Rep Dermatol,,1662-6567,Jan 2009,
Case Reports in Dermatological Medicine,Case Rep Dermatol Med,2090-6463,2090-6471,2011,
Case Reports in Emergency Medicine,Case Rep Emerg Med,2090-648X,2090-6498,2011,
Case Reports in Endocrinology,Case Rep Endocrinol,2090-6501,2090-651X,2011,
Case Reports in Gastroenterology,Case Rep Gastroenterol,,1662-0631,2007,
Case Reports in Gastrointestinal Medicine,Case Rep Gastrointest Med,2090-6528,2090-6536,2011,
Case Reports in Genetics,Case Rep Genet,2090-6544,2090-6552,2011,
Case Reports in Hematology,Case Rep Hematol,2090-6560,2090-6579,2011,
Case Reports in Infectious Diseases,Case Rep Infect Dis,2090-6625,2090-6633,2011,
Case Reports in Medicine,Case Rep Med,1687-9627,1687-9635,2009,
Case Reports in Nephrology,Case Rep Nephrol,2090-6641,2090-665X,2011,
Case Reports in Nephrology and Urology,Case Rep Nephrol Urol,,1664-5510,Jul 2011,
Case Reports in Neurology,Case Rep Neurol,,1662-680X,Jan 2009,
Case Reports in Neurological Medicine,Case Rep Neurol Med,2090-6668,2090-6676,2011,
Case Reports in Obstetrics and Gynecology,Case Rep Obstet Gynecol,2090-6684,2090-6692,2011,
Case Reports in Oncology,Case Rep Oncol,,1662-6575,Nov 2008,
Case Reports in Oncological Medicine,Case Rep Oncol Med,2090-6706,2090-6714,2011,
Case Reports in Ophthalmology,Case Rep Ophthalmol,,1663-2699,May 2010,
Case Reports in Ophthalmological Medicine,Case Rep Ophthalmol Med,2090-6722,2090-6730,2011,
Case Reports in Orthopedics,Case Rep Orthop,2090-6749,2090-6757,2011,
Case Reports in Otolaryngology,Case Rep Otolaryngol,2090-6765,2090-6773,2011,
Case Reports in Pathology,Case Rep Pathol,2090-6781,2090-679X,2011,
Case Reports in Pediatrics,Case Rep Pediatr,2090-6803,2090-6811,2011,
Case Reports in Psychiatry,Case Rep Psychiatry,2090-682X,2090-6838,2011,
Case Reports in Pulmonology,Case Rep Pulmonol,2090-6846,2090-6854,2011,
Case Reports in Radiology,Case Rep Radiol,2090-6862,2090-6870,2011,
Case Reports in Rheumatology,Case Rep Rheumatol,2090-6889,2090-6897,2011,
Case Reports in Surgery,Case Rep Surg,2090-6900,2090-6919,2011,
Case Reports in Transplantation,Case Rep Transplant,2090-6943,2090-6951,2011,
Case Reports in Urology,Case Rep Urol,2090-696X,2090-6978,2011,
Case Reports in Vascular Medicine,Case Rep Vasc Med,2090-6986,2090-6994,2011,
Cases Journal,Cases J,,1757-1626,2008,Dec 2010
Caspian Journal of Internal Medicine,Caspian J Intern Med,2008-6164,2008-6172,Jan 2011,
CBE Life Sciences Education,CBE Life Sci Educ,,1931-7913,Mar 2006,
Cell Adhesion & Migration,Cell Adh Migr,1933-6918,1933-6926,Jan 2007,
Cell Biology International Reports,Cell Biol Int Rep (2010),,2041-5346,2010,Dec 2012
Cell & Bioscience,Cell Biosci,,2045-3701,2011,
Cell & Chromosome,Cell Chromosome,,1475-9268,2002,Dec 2008
Cell Communication and Signaling : CCS,Cell Commun Signal,,1478-811X,2003,
Cell Cycle,Cell Cycle,1538-4101,1551-4005,Jul 2010,
Cell Death and Differentiation,Cell Death Differ,1350-9047,1476-5403,Jan 2011,
Cell Death & Disease,Cell Death Dis,,2041-4889,Jan 2010,
Cell Division,Cell Div,,1747-1028,2006,
Cell Journal (Yakhteh),Cell J,2228-5806,2228-5814,Apr 2011,
Cellular Logistics,Cell Logist,2159-2780,2159-2799,Jan 2011,
Cellular and Molecular Immunology,Cell Mol Immunol,1672-7681,2042-0226,Jan 2012,
Cellular Physiology and Biochemistry,Cell Physiol Biochem,1015-8987,1421-9778,Jan 2010,May 2012
Cellular Reprogramming,Cell Reprogram,2152-4971,2152-4998,Jun 2008,
Cell Research,Cell Res,1001-0602,1748-7838,Jan 2011,
Cell Stress & Chaperones,Cell Stress Chaperones,1355-8145,1466-1268,Apr 1996,
Cells,Cells,,2073-4409,Jan 2012,
"Cells, Tissues, Organs",Cells Tissues Organs,1422-6405,1422-6421,Aug 2009,May 2012
Central European Journal of Urology,Cent European J Urol,2080-4806,2080-4873,2011,
"Cerebral Cortex (New York, NY)",Cereb Cortex,1047-3211,1460-2199,Aug 2008,
"Cerebrovascular Diseases (Basel, Switzerland)",Cerebrovasc Dis,1015-9770,1421-9786,Dec 2007,May 2012
Cerebrovascular Diseases Extra,Cerebrovasc Dis Extra,,1664-5456,Jan 2011,
Cerebrum: the Dana Forum on Brain Science,Cerebrum,1524-6205,1943-3859,May 2010,
Channels,Channels (Austin),1933-6950,1933-6969,Jul 2010,
Chaos,Chaos,1054-1500,1089-7682,Apr 2008,
Chemistry Central Journal,Chem Cent J,,1752-153X,2007,
Chemical Senses,Chem Senses,0379-864X,1464-3553,Aug 2008,
ChemistryOpen,ChemistryOpen,,2191-1363,Feb 2012,
Chemotherapy Research and Practice,Chemother Res Pract,2090-2107,2090-2115,2010,
Chemotherapy,Chemotherapy,0009-3157,1421-9794,Aug 2008,May 2012
Chest,Chest,0012-3692,1931-3543,May 2009,
Child and Adolescent Psychiatry and Mental Health,Child Adolesc Psychiatry Ment Health,,1753-2000,2007,
Childhood Obesity,Child Obes,2153-2168,2153-2176,Jun 2008,
Chimerism,Chimerism,1938-1956,1938-1964,Jul 2010,
Chinese Journal of Cancer,Chin J Cancer,1000-467X,1944-446X,Jan 2011,
Chinese Journal of Cancer Research,Chin J Cancer Res,1000-9604,1993-0631,Mar 2011,
Chinese Medicine,Chin Med,,1749-8546,2006,
Chiropractic & Manual Therapies,Chiropr Man Therap,,2045-709X,2011,
Cholesterol,Cholesterol,2090-1283,2090-1291,2010,
Chonnam Medical Journal,Chonnam Med J,2233-7385,2233-7393,Apr 2011,
Cilia,Cilia,,2046-2530,2012,
The Clinical Biochemist Reviews,Clin Biochem Rev,0159-8090,,Feb 2003,
Clinical Cases in Mineral and Bone Metabolism,Clin Cases Miner Bone Metab,1724-8914,1971-3266,Jan 2007,
Clinics in Colon and Rectal Surgery,Clin Colon Rectal Surg,1531-0043,1530-9681,Feb 2004,
"Clinical, Cosmetic and Investigational Dentistry",Clin Cosmet Investig Dent,,1179-1357,2009,
"Clinical, Cosmetic and Investigational Dermatology",Clin Cosmet Investig Dermatol,,1178-7015,2008,
Clinical Endoscopy,Clin Endosc,2234-2400,2234-2443,Sep 2011,
Clinical Epidemiology,Clin Epidemiol,,1179-1349,2009,
Clinical Epigenetics,Clin Epigenetics,1868-7075,1868-7083,Sep 2010,
Clinical and Experimental Gastroenterology,Clin Exp Gastroenterol,,1178-7023,2008,
Clinical and Experimental Immunology,Clin Exp Immunol,0009-9104,1365-2249,Jan 1966,
Clinical and Experimental Otorhinolaryngology,Clin Exp Otorhinolaryngol,1976-8710,2005-0720,Mar 2008,
Clinical and Experimental Reproductive Medicine,Clin Exp Reprod Med,2233-8233,2233-8241,Mar 2011,
Clinical and Experimental Vaccine Research,Clin Exp Vaccine Res,2287-3651,2287-366X,Jul 2012,
Clinical Infectious Diseases: An Official Publication of the Infectious Diseases Society of America,Clin Infect Dis,1058-4838,1537-6591,Dec 2010,
Clinical Interventions in Aging,Clin Interv Aging,1176-9092,1178-1998,Mar 2006,
Clinical Journal of the American Society of Nephrology : CJASN,Clin J Am Soc Nephrol,1555-9041,1555-905X,Jan 2008,
Clinical Kidney Journal,Clin Kidney J,2048-8505,2048-8513,Jan 2012,
Clinical Medicine Insights. Arthritis and Musculoskeletal Disorders,Clin Med Insights Arthritis Musculoskelet Disord,,1179-5441,2010,
Clinical Medicine Insights. Cardiology,Clin Med Insights Cardiol,,1179-5468,2010,
Clinical Medicine Insights. Case Reports,Clin Med Insights Case Rep,,1179-5476,2010,
"Clinical Medicine Insights. Circulatory, Respiratory and Pulmonary Medicine",Clin Med Insights Circ Respir Pulm Med,,1179-5484,2010,
"Clinical Medicine Insights. Ear, Nose and Throat",Clin Med Insights Ear Nose Throat,,1179-5506,2011,
Clinical Medicine Insights. Endocrinology and Diabetes,Clin Med Insights Endocrinol Diabetes,,1179-5514,2010,
Clinical Medicine Insights. Gastroenterology,Clin Med Insights Gastroenterol,,1179-5522,2012,
Clinical Medicine Insights. Oncology,Clin Med Insights Oncol,,1179-5549,2010,
Clinical Medicine Insights. Pathology,Clin Med Insights Pathol,,1179-5557,2010,
Clinical Medicine Insights. Pediatrics,Clin Med Insights Pediatr,,1179-5565,2010,
Clinical Medicine Insights. Reproductive Health,Clin Med Insights Reprod Health,,1179-5581,2011,
Clinical Medicine Insights. Women's Health,Clin Med Insights Womens Health,,1179-562X,2011,
Clinical Medicine & Research,Clin Med Res,1539-4182,1554-6179,Jan 2003,
Clinical Microbiology Reviews,Clin Microbiol Rev,0893-8512,1098-6618,Jan 1988,
Clinical and Molecular Allergy : CMA,Clin Mol Allergy,,1476-7961,2003,
Clinical and Molecular Hepatology,Clin Mol Hepatol,2287-2728,2287-285X,Jun 2012,
Clinical Neuropathology,Clin Neuropathol,0722-5091,,Nov 2011,
Clinical Nutrition Research,Clin Nutr Res,2287-3732,2287-3740,Jul 2012,
"Clinical Ophthalmology (Auckland, N.Z.)",Clin Ophthalmol,1177-5467,1177-5483,Mar 2007,
Clinical Orthopaedics and Related Research,Clin Orthop Relat Res,0009-921X,1528-1132,Jan 2008,
Clinics in Orthopedic Surgery,Clin Orthop Surg,2005-291X,2005-4408,Mar 2009,
Clinical Pediatric Endocrinology,Clin Pediatr Endocrinol,0918-5739,1347-7358,2004,
Clinical Pharmacology : Advances and Applications,Clin Pharmacol,,1179-1438,2009,
Clinics and Practice,Clin Pract,2039-7275,2039-7283,Mar 2011,
Clinical Practice and Epidemiology in Mental Health : CP & EMH,Clin Pract Epidemiol Ment Health,,1745-0179,2005,
Clinical Proteomics,Clin Proteomics,1542-6416,1559-0275,2011,
Clinical Psychopharmacology and Neuroscience,Clin Psychopharmacol Neurosci,1738-1088,2093-4327,Apr 2011,
Clinical Sarcoma Research,Clin Sarcoma Res,,2045-3329,2011,
Clinical and Translational Allergy,Clin Transl Allergy,,2045-7022,2011,
Clinical and Translational Gastroenterology,Clin Transl Gastroenterol,,2155-384X,Oct 2010,
Clinical and Translational Medicine,Clin Transl Med,,2001-1326,2012,
Clinical and Vaccine Immunology : CVI,Clin Vaccine Immunol,1556-6811,1556-679X,Jan 2006,
ClinicoEconomics and Outcomes Research: CEOR,Clinicoecon Outcomes Res,,1178-6981,2009,
Clinics,Clinics (Sao Paulo),1807-5932,1980-5322,Feb 2008,
Cloning and Stem Cells,Cloning Stem Cells,1536-2302,1557-7457,Jun 2008,
CMAJ : Canadian Medical Association Journal,CMAJ,0820-3946,1488-2329,Jan 1986,
CMAJ Open,CMAJ Open,,2291-0026,Jan 2013,
Cognitive Neurodynamics,Cogn Neurodyn,1871-4080,1871-4099,Mar 2007,
Colombia M&#x000e9;dica : CM,Colomb Med (Cali),0120-8322,1657-9534,Apr 2012,
Communicative & Integrative Biology,Commun Integr Biol,,1942-0889,Jul 2008,
Community Eye Health,Community Eye Health,0953-6833,1993-7288,1998,
Comparative Cytogenetics,Comp Cytogenet,1993-0771,1993-078X,2011,
Comparative Hepatology,Comp Hepatol,,1476-5926,2002,Dec 2012
Comparative Medicine,Comp Med,1532-0820,,Feb 2008,
Computational Intelligence and Neuroscience,Comput Intell Neurosci,1687-5265,1687-5273,2007,
Computational and Mathematical Methods in Medicine,Comput Math Methods Med,1748-670X,1748-6718,2011,
Computational and Structural Biotechnology Journal,Comput Struct Biotechnol J,,2001-0370,2012,
Conflict and Health,Confl Health,,1752-1505,2007,
Contemporary Clinical Dentistry,Contemp Clin Dent,0976-237X,0976-2361,Jan 2010,
Contemporary Oncology,Contemp Oncol (Pozn),1428-2526,1897-4309,2012,
Continuum : Lifelong Learning in Neurology,Continuum (Minneap Minn),1080-2371,1538-6899,Dec 2012,
Core Evidence,Core Evid,1555-1741,1555-175X,2005,
Cost Effectiveness and Resource Allocation : C/E,Cost Eff Resour Alloc,,1478-7547,2003,
"Cough (London, England)",Cough,,1745-9974,2005,
CPT: Pharmacometrics & Systems Pharmacology,CPT Pharmacometrics Syst Pharmacol,,2163-8306,Mar 2013,
Craniomaxillofacial Trauma & Reconstruction,Craniomaxillofac Trauma Reconstr,1943-3875,1943-3883,Nov 2008,
Critical Care,Crit Care,1364-8535,1466-609X,1997,
Critical Care Research and Practice,Crit Care Res Pract,2090-1305,2090-1313,2010,
Critical Ultrasound Journal,Crit Ultrasound J,2036-3176,2036-7902,2012,
Croatian Medical Journal,Croat Med J,0353-9504,1332-8166,Feb 2006,
Current Cardiology Reviews,Curr Cardiol Rev,1573-403X,1875-6557,Feb 2008,
Current Chemical Genomics and Translational Medicine,Curr Chem Genomics Transl Med,,2213-9885,2013,
Current Genomics,Curr Genomics,1389-2029,1875-5488,Nov 2006,
Current Gerontology and Geriatrics Research,Curr Gerontol Geriatr Res,1687-7063,1687-7071,2008,
Current Health Sciences Journal,Curr Health Sci J,2067-0656,2069-4032,Jan 2009,
Current Neuropharmacology,Curr Neuropharmacol,1570-159X,1875-6190,Oct 2005,
Current Oncology,Curr Oncol,1198-0052,,Feb 2006,
Current Reviews in Musculoskeletal Medicine,Curr Rev Musculoskelet Med,1935-973X,1935-9748,Mar 2008,
"Current Therapeutic Research, Clinical and Experimental",Curr Ther Res Clin Exp,0011-393X,1879-0313,Jan 2003,
Current Urology,Curr Urol,1661-7649,1661-7657,Jan 2010,
"Cyberpsychology, Behavior and Social Networking",Cyberpsychol Behav Soc Netw,2152-2715,2152-2723,Feb 2010,
Cytogenetic and Genome Research,Cytogenet Genome Res,1424-8581,1424-859X,Feb 2009,May 2012
CytoJournal,Cytojournal,,1742-6413,2004,
Cytotechnology,Cytotechnology,0920-9069,1573-0778,Jan 1997,
DARU Journal of Pharmaceutical Sciences,Daru,1560-8115,2008-2231,2010,
Database: The Journal of Biological Databases and Curation,Database (Oxford),,1758-0463,2009,
Dementia and Geriatric Cognitive Disorders EXTRA,Dement Geriatr Cogn Dis Extra,,1664-5464,Jan 2011,
Dementia and Geriatric Cognitive Disorders,Dement Geriatr Cogn Disord,1420-8008,1421-9824,Oct 2008,May 2012
Demography,Demography,0070-3370,1533-7790,Feb 2008,Dec 2010
Dental Research Journal,Dent Res J (Isfahan),1735-3327,2008-0255,Mar 2009,
Dentomaxillofacial Radiology,Dentomaxillofac Radiol,0250-832X,1476-542X,Jan 2010,
Depression Research and Treatment,Depress Res Treat,2090-1321,2090-133X,2010,
Dermato-endocrinology,Dermatoendocrinol,1938-1972,1938-1980,Jan 2009,
Dermatology Practical & Conceptual,Dermatol Pract Concept,,2160-9381,Jan 2011,
Dermatology Research and Practice,Dermatol Res Pract,1687-6105,1687-6113,2009,
Dermatology and Therapy,Dermatol Ther (Heidelb),2193-8210,2190-9172,Sep 2011,
"Dermatology (Basel, Switzerland)",Dermatology,1018-8665,1421-9832,Jun 2008,May 2012
Developmental Neuroscience,Dev Neurosci,0378-5866,1421-9859,Jun 2009,May 2012
"Development (Cambridge, England)",Development,0950-1991,1477-9129,Jan 2009,
Diabetic Foot & Ankle,Diabet Foot Ankle,,2000-625X,2010,
Diabetes,Diabetes,0012-1797,1939-327X,Jul 2008,
Diabetes Care,Diabetes Care,0149-5992,1935-5548,Jul 2008,
Diabetes & Metabolism Journal,Diabetes Metab J,2233-6079,2233-6087,Feb 2011,
"Diabetes, Metabolic Syndrome and Obesity: Targets and Therapy",Diabetes Metab Syndr Obes,,1178-7007,2008,
Diabetes Technology & Therapeutics,Diabetes Technol Ther,1520-9156,1557-8593,Jun 2008,
Diabetes Therapy,Diabetes Ther,1869-6953,1869-6961,Aug 2010,
Diabetology & Metabolic Syndrome,Diabetol Metab Syndr,,1758-5996,2009,
Diagnostic Pathology,Diagn Pathol,,1746-1596,2006,
Diagnostic and Therapeutic Endoscopy,Diagn Ther Endosc,1070-3608,1029-0516,1994,
Dialogues in Clinical Neuroscience,Dialogues Clin Neurosci,1294-8322,1958-5969,Jun 1999,
"Digestive Diseases (Basel, Switzerland)",Dig Dis,0257-2753,1421-9875,Feb 2009,May 2012
Digestive Surgery,Dig Surg,0253-4886,1421-9883,Jul 2009,May 2012
Digestion,Digestion,0012-2823,1421-9867,Oct 2009,May 2012
Digital Journal of Ophthalmology : DJO,Digit J Ophthalmol,,1542-8958,2010,
Disease Markers,Dis Markers,0278-0240,1875-8630,1998,
Disease Models & Mechanisms,Dis Model Mech,1754-8403,1754-8411,Jul 2008,
DNA and Cell Biology,DNA Cell Biol,1044-5498,1557-7430,Jun 2008,
DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes,DNA Res,1340-2838,1756-1663,2007,
Dose-Response,Dose Response,,1559-3258,2005,
"Drug Design, Development and Therapy",Drug Des Devel Ther,,1177-8881,2007,
"Drug, Healthcare and Patient Safety",Drug Healthc Patient Saf,,1179-1365,2009,
Drug Metabolism and Disposition,Drug Metab Dispos,0090-9556,1521-009X,Jan 2009,
Drug Target Insights,Drug Target Insights,,1177-3928,2006,
Drugs in Context,Drugs Context,1745-1981,1740-4398,2012,
Deutsches &#x000c4;rzteblatt International,Dtsch Arztebl Int,,1866-0452,Jan 2008,
Dynamic Medicine : DM,Dyn Med,,1476-5918,2002,Nov 2009
Dynamic Medicine : DM,Dyn Med,,1476-5918,2002,Dec 2009
ecancermedicalscience,Ecancermedicalscience,,1754-6605,2007,
Ecology and Evolution,Ecol Evol,,2045-7758,Sep 2011,
EJNMMI Research,EJNMMI Res,,2191-219X,2011,
Electrolytes & Blood Pressure : E & BP,Electrolyte Blood Press,1738-5997,2092-9935,Mar 2006,
eLife,eLife,,2050-084X,2012,
The EMBO Journal,EMBO J,0261-4189,1460-2075,1982,
EMBO Molecular Medicine,EMBO Mol Med,1757-4676,1757-4684,Apr 2009,
EMBO Reports,EMBO Rep,1469-221X,1469-3178,Jul 2000,
Emerging Health Threats Journal,Emerg Health Threats J,,1752-8550,2008,
Emerging Infectious Diseases,Emerg Infect Dis,1080-6040,1080-6059,Jan 1995,
Emergency Medicine International,Emerg Med Int,2090-2840,2090-2859,2010,
Emerging Microbes & Infections,Emerg Microbes Infect,,2222-1751,Jan 2012,
Emerging Themes in Epidemiology,Emerg Themes Epidemiol,,1742-7622,2004,
Endocrine Connections,Endocr Connect,,2049-3614,Jul 2012,
Endocrine Reviews,Endocr Rev,0163-769X,1945-7189,Feb 2008,
"Endocrinology, Diabetes & Metabolism Case Reports",Endocrinol Diabetes Metab Case Rep,,2052-0573,2013,
Endocrinology and Metabolism,Endocrinol Metab (Seoul),2093-596X,2093-5978,Mar 2013,
Endocrinology,Endocrinology,0013-7227,1945-7170,Jan 2008,
Endoscopic Ultrasound,Endosc Ultrasound,2303-9027,2226-7190,Apr 2012,
Environmental Engineering Science,Environ Eng Sci,1092-8758,,Jun 2008,
Environmental Health,Environ Health,,1476-069X,2002,
Environmental Health Insights,Environ Health Insights,,1178-6302,2008,
Environmental Health Perspectives,Environ Health Perspect,0091-6765,1552-9924,Apr 1972,
Environmental Health and Preventive Medicine,Environ Health Prev Med,1342-078X,1347-4715,Jan 1997,
Environmental Health and Toxicology,Environ Health Toxicol,,2233-6567,2011,
Enzyme Research,Enzyme Res,2090-0406,2090-0414,2010,
Epidemiology and Health,Epidemiol Health,,2092-7193,2009,
Epidemiology and Infection,Epidemiol Infect,0950-2688,1469-4409,Feb 1987,Dec 2008
Epidemiologic Perspectives & Innovations : EP+I,Epidemiol Perspect Innov,,1742-5573,2004,Dec 2012
Epidemiologic Reviews,Epidemiol Rev,0193-936X,1478-6729,May 2010,
Epigenetics,Epigenetics,1559-2294,1559-2308,Aug 2010,
Epigenetics & Chromatin,Epigenetics Chromatin,,1756-8935,2008,
Epilepsy Currents,Epilepsy Curr,1535-7597,1535-7511,Sep 2001,
Epilepsy Research and Treatment,Epilepsy Res Treat,2090-1348,2090-1356,2010,
Eplasty,Eplasty,,1937-5719,2008,
The EPMA Journal,EPMA J,1878-5077,1878-5085,Mar 2010,
Ethiopian Journal of Health Sciences,Ethiop J Health Sci,1029-1857,,Mar 2010,
Eukaryotic Cell,Eukaryot Cell,1535-9778,1535-9786,Feb 2002,
European Addiction Research,Eur Addict Res,1022-6877,1421-9891,Oct 2009,May 2012
European Heart Journal,Eur Heart J,0195-668X,1522-9645,Aug 2008,
European Heart Journal. Acute Cardiovascular Care,Eur Heart J Acute Cardiovasc Care,2048-8726,2048-8734,Apr 2012,Feb 2014
European Heart Journal Cardiovascular Imaging,Eur Heart J Cardiovasc Imaging,2047-2404,2047-2412,Jan 2012,
European Heart Journal Supplements : Journal of the European Society of Cardiology,Eur Heart J Suppl,1520-765X,1554-2815,Jan 2014,
European Journal of Cardio-Thoracic Surgery : Official Journal of the European Association for Cardio-thoracic Surgery,Eur J Cardiothorac Surg,1010-7940,1873-734X,Dec 2011,
European Journal of Dentistry,Eur J Dent,1305-7456,1305-7464,Jan 2007,
European Journal of Echocardiography,Eur J Echocardiogr,1525-2167,1532-2114,Aug 2008,Dec 2011
European Journal of Heart Failure,Eur J Heart Fail,1388-9842,1879-0844,Jan 2009,
European Journal of Histochemistry : EJH,Eur J Histochem,1121-760X,2038-8306,Mar 2009,
European Journal of Human Genetics,Eur J Hum Genet,1018-4813,1476-5438,Jan 2009,
European Journal of Medical Research,Eur J Med Res,0949-2321,2047-783X,2009,
European Journal of Microbiology & Immunology,Eur J Microbiol Immunol (Bp),2062-509X,2062-8633,Mar 2011,
The European Journal of Orthodontics,Eur J Orthod,0141-5387,1460-2210,Aug 2008,
European Journal of Psychotraumatology,Eur J Psychotraumatol,,2000-8066,2010,
The European Journal of Public Health,Eur J Public Health,1101-1262,1464-360X,Aug 2008,
European Neurology,Eur Neurol,0014-3022,1421-9913,Aug 2009,May 2012
European Spine Journal,Eur Spine J,0940-6719,1432-0932,Jan 1997,Mar 2014
European Surgical Research,Eur Surg Res,0014-312X,1421-9921,Sep 2009,May 2012
European Thyroid Journal,Eur Thyroid J,2235-0640,2235-0802,Jan 2010,
EURASIP Journal on Bioinformatics and Systems Biology,EURASIP J Bioinform Syst Biol,1687-4145,1687-4153,2006,
Europace,Europace,1099-5129,1532-2092,Aug 2008,
Evidence-based Complementary and Alternative Medicine : eCAM,Evid Based Complement Alternat Med,1741-427X,1741-4288,Jun 2004,
Evidence-Based Spine-Care Journal,Evid Based Spine Care J,1663-7976,1869-4136,May 2010,
EvoDevo,EvoDevo,,2041-9139,2010,
Evolutionary Applications,Evol Appl,,1752-4571,Feb 2008,
Evolutionary Bioinformatics Online,Evol Bioinform Online,,1176-9343,Jan 2005,
"Evolution, Medicine, and Public Health",Evol Med Public Health,,2050-6201,2013,
Experimental & Clinical Cardiology,Exp Clin Cardiol,1205-6626,1918-1515,Mar 2001,Jul 2013
Experimental Hematology & Oncology,Exp Hematol Oncol,,2162-3619,2012,
Experimental & Molecular Medicine,Exp Mol Med,1226-3613,2092-6413,Feb 2008,
Experimental Neurobiology,Exp Neurobiol,1226-2560,2093-8144,Jun 2010,
Experimental and Therapeutic Medicine,Exp Ther Med,1792-0981,1792-1015,Jan 2012,
Experimental & Translational Stroke Medicine,Exp Transl Stroke Med,,2040-7378,2009,
Extreme Physiology & Medicine,Extrem Physiol Med,,2046-7648,2012,
Eye,Eye (Lond),0950-222X,1476-5454,Jan 2011,
F1000Prime Reports,F1000Prime Rep,,2051-7599,2013,
F1000Research,F1000Res,,2046-1402,2012,
"Facts, Views & Vision in ObGyn",Facts Views Vis Obgyn,2032-0418,,2010,
Family Practice,Fam Pract,0263-2136,1460-2229,Aug 2008,
The FASEB Journal,FASEB J,0892-6638,1530-6860,Aug 2008,
FEBS Open Bio,FEBS Open Bio,,2211-5463,Dec 2011,
